,wave_id,transcript,Speaker,Gender,Age_Range,Pronunciation_dialect
21331,a0086,Death had come with terrible suddenness.,2184,Male,Adult,American English
8566,b0045,Philip did not pursue the subject.,880,Male,Adult,American English
30024,a0265,The discovery seemed to have been made on the spur of the moment.,3081,Male,Adult,New Zealand English
36152,a0540,"Yea, so are all the lesser animals of today clean.",3717,Male,Adult,Canadian English
46803,b0374,"To say the least, Captain Cook was a rather thorough going empiricist.",4792,Male,Adult,American English
49648,a0018,There was a change now.,5082,Male,Adult,American English
30353,a0435,What do you mean by this outrageous conduct.,3114,Male,Adult,American English
21478,a0105,"Only, it is so wonderful, so almost impossible to believe.",2199,Male,Adult,European English
23083,b0185,Your being wrecked here has been a godsend to me.,2382,Male,Adult,Other
27558,a0091,His blood grew hot with rage at the thought.,2830,Male,Adult,American English
41081,b0157,In the crib the baby sat up and began to prattle.,4216,Male,Adult,American English
18664,a0032,Since then some mysterious force has been fighting us at every step.,1907,Male,Youth,Other
19197,rb-23,"In practice this will allow end users to issue commands such as ""go to previous paragraph""",1962,Male,Adult,European English
27984,a0189,"The big-eyed, clucking moose-birds were most annoying.",2876,Male,Senior,British English
53287,a0289,"They are not regular oyster pirates, Nicholas continued.",5448,Male,Adult,Indian English
34230,b0425,"There were orange-green, gold-green, and a copper-green.",3507,Male,Adult,American English
5134,rb-14,A major stumbling block is the still limited computing power of these phones.,528,Male,Adult,Other
44893,b0313,The apron string loomed near and he shied like an unbroken colt.,4599,Male,Adult,New Zealand English
56391,e0247,they will be sent back through the garage to the street level to walk across the street to the round kiosk,5757,Male,Adult,American English
931,a0148,Now these things had been struck dead within him.,95,Male,Adult,European English
13808,a0472,"He is too keenly intelligent, too sharply sensitive, successfully to endure.",1414,Male,Adult,American English
47528,b0375,Man could not conquer them.,4865,Male,Youth,American English
27319,b0285,The hyena proceeded to dine.,2806,Male,Adult,Other
37916,b0051,The sixth day he spent in the cabin with Gregson.,3897,Male,Adult,American English
21267,b0005, slim fingers closed like steel about Philip's.,2177,Male,Adult,Indian English
5655,b0033,How does your wager look now.,582,Male,Adult,Canadian English
2565,a0537,He was an enthusiast and a desert dweller.,265,Male,Adult,American English
44711,b0004,When I can't see beauty in woman I want to die.,4581,Male,Adult,Other
7540,b0476,The reorganization of these countries took the form of revolution.,775,Male,Adult,British English
43413,b0277,Two of the Folk were already up.,4451,Male,Adult,American English
18306,a0190,Next to them the Canada jays were most persistent.,1870,Male,Adult,British English
19700,a0082,His face was streaming with blood.,2014,Male,Adult,European English
40500,b0118,"We saw your light, and thought you wouldn't mind a call.",4157,Male,Youth,American English
20692,a0582,Daughtry elaborated on the counting trick by bringing Cocky along.,2116,Male,Adult,European English
55631,b0511,Do you value your hide.,5681,Male,Adult,American English
32245,a0318,Production is doubling and quadrupling upon itself.,3309,Male,Adult,Canadian English
36560,rp-31,with little or no green or blue.,3759,Male,Youth,British English
28620,a0449,"A sinewy hand, dripping with water, was clutching the rail.",2939,Male,Adult,American English
33442,a0044,Her own betrayal of herself was like tonic to Philip.,3428,Male,Adult,European English
35308,a0194,He drank of the water cautiously.,3632,Male,Adult,South African English
2078,a0375,The butchers and meat cutters refused to handle meat destined for unfair restaurants.,213,Male,Adult,Australian English
32652,b0324,Not till the twentieth of May did the river break.,3349,Male,Adult,Other
43982,a0292,"Here, in the midmorning, the first casualty occurred.",4508,Male,Adult,British English
49741,b0050,All this day Gregson remained in the cabin.,5092,Male,Adult,American English
19704,a0081,What if she did not come to the rock.,2014,Male,Adult,European English
30234,b0522,Nor would it thaw out his hands and feet.,3102,Male,Adult,American English
33504,b0449,"Also, she wouldn't walk.",3435,Male,Adult,European English
17614,b0272,These were merely stout sticks an inch or so in diameter.,1801,Male,Adult,American English
27090,b0020,He made no reply as he waited for Whittemore to continue.,2783,Male,Adult,British English
43655,b0270,We could throw stones with our feet.,4476,Male,Adult,Australian English
24290,a0472,"He is too keenly intelligent, too sharply sensitive, successfully to endure.",2503,Male,Youth,Indian English
33707,b0195,Nobody knows how the natives got them.,3455,Male,Adult,European English
46269,rp-04,"These take the shape of a long round arch, with its path high above,",4739,Male,Adult,American English
37338,a0069,It was his intention to return to Eileen and her father.,3839,Male,Adult,American English
51357,b0407,"Of course much grumbling went on, and little outbursts were continually occurring.",5254,Male,Adult,Other
35184,b0379,Christmas is an easy problem compared with a Polynesian giving-feast.,3619,Male,Adult,American English
12202,a0166,Two days ago Jeanne learned where her father's men were hiding.,1252,Male,Adult,American English
48399,a0405,It seemed the ordained order of things that dogs should work.,4956,Male,Adult,British English
12122,a0377,This sound did not disturb the hush and awe of the place.,1244,Male,Adult,American English
39187,b0266,And now put yourself in my place for a moment.,4025,Male,Adult,Canadian English
52949,b0252,It resembled tea less than lager beer resembles champagne.,5413,Male,Adult,European English
15548,b0146,"After all, it was simply a mistake in judgment.",1592,Male,Youth,American English
16603,a0573,There was no law on the Yukon save what they made for themselves.,1699,Male,Youth,Indian English
3142,a0166,Two days ago Jeanne learned where her father's men were hiding.,323,Male,Adult,European English
27260,b0535,He read his fragments aloud.,2800,Male,Adult,British English
4306,a0327,"They were less stooped than we, less springy in their movements.",445,Male,Adult,European English
54014,a0131,Providence had delivered him through the maelstrom.,5519,Male,Adult,American English
30078,b0273,Then it was that a strange thing happened.,3087,Male,Adult,Other
57858,b0141,It was beating and waiting in the ambush of those black pits.,5905,Male,Youth,Canadian English
42997,rp-01,"When the sunlight strikes raindrops in the air,",4409,Male,Adult,British English
20877,a0210,Its diameter was not more than two hundred yards.,2136,Male,Adult,American English
9616,a0084,Scarcely had he uttered the name when Pierre's closing eyes shot open.,988,Male,Adult,American English
10286,b0021,Philip dropped back into his chair.,1058,Male,Adult,American English
25656,ar-18,"""The roof may not come down yet.""",2639,Male,Youth,American English
28946,a0163,Philip made no effort to follow.,2972,Male,Adult,American English
36211,a0063,"Yes, it was a man who asked, a stranger.",3723,Male,Adult,European English
49338,a0484,No-sir-ee.,5051,Male,Adult,European English
31934,b0218,The issue was not in doubt.,3275,Male,Adult,American English
26424,a0087,"Philip bent lower, and stared into the face of the dead man.",2716,Male,Adult,American English
2395,b0018,I was completely lost in my work.,248,Male,Adult,American English
45457,b0149,Pebbles and dirt flew along with hair and fur.,4657,Male,Adult,American English
44616,a0262,They wouldn't be sweeping a big vessel like the Martha.,4572,Male,Adult,Other
11344,b0052,The flush was gone from her face.,1165,Male,Adult,European English
9163,b0318,Again he had done the big thing.,941,Male,Youth,European English
18721,ar-18,"""The roof may not come down yet.""",1913,Male,Adult,American English
45213,a0547,Men like Joe Goose dated existence from drunk to drunk.,4633,Male,Adult,American English
6591,b0204,Down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods.,678,Male,Adult,American English
23356,a0397,"Call me that again, he murmured ecstatically.",2410,Male,Adult,European English
35056,rp-15,The Norsemen considered the rainbow as a bridge,3606,Male,Adult,European English
55127,rb-08,"the amount of available ""screen real-estate"".",5631,Male,Adult,American English
11020,a0567,"Now Irvine was a man of impulse, a poet.",1132,Male,Adult,Indian English
4942,a0457,What I saw I could not at first believe.,509,Male,Youth,Irish English
36937,rb-37,"like ""go up one folder"" ""open the folder University"" or ""open document thesis"".",3797,Male,Adult,British English
36696,a0544,He may anticipate the day of his death.,3773,Male,Adult,European English
41751,b0097,"Besides, that noise makes me deaf.",4283,Male,Adult,American English
5954,a0069,It was his intention to return to Eileen and her father.,612,Male,Youth,Australian English
12313,b0110,"Such men believe, when they come together.",1263,Male,Adult,Other
623,a0179,"Tomorrow I'm going after that bear, he said.",65,Male,Adult,European English
23461,b0117,"That's Thorpe's, said the young engineer.",2420,Male,Adult,American English
37753,a0172,Gregson had left the outer door slightly ajar.,3881,Male,Adult,Other
31445,b0381,And how would we ever find ourselves.,3225,Male,Adult,Canadian English
1519,b0361,"There are the canals of China, and the Yangtse River.",155,Male,Adult,Other
15963,a0078,"Then, and at supper, he tried to fathom her.",1634,Male,Adult,American English
36647,b0194,"Joan cried, with shining eyes.",3768,Male,Adult,European English
35667,a0145,"I have to be careful of them, as they tear very easily.",3667,Male,Adult,American English
3355,ar-05,"""Now look here! No one is going to care for you if you carry on like this.""",347,Male,Adult,Canadian English
13171,b0023,"MacDougall, my engineer, believes it.",1350,Male,Youth,Other
4763,b0078,"There was pride and strength, the ring of triumph in his voice.",491,Male,Youth,American English
33833,b0027,"And there's no chivalry, no quarter shown in this fight.",3468,Male,Adult,European English
24235,a0226,That came before my A B C's.,2498,Male,Adult,American English
11037,b0467,Let us run them for ourselves.,1134,Male,Adult,American English
34289,b0059,In moments of mental energy Philip was restless.,3513,Male,Adult,Other
2428,a0362,"Nope, not the slightest idea.",251,Male,Adult,Canadian English
14669,b0118,"We saw your light, and thought you wouldn't mind a call.",1503,Male,Adult,British English
10759,b0535,He read his fragments aloud.,1106,Male,Youth,American English
39737,b0127,He destroyed everything that had belonged to the woman.,4080,Male,Adult,American English
3840,a0068,In a flash Philip followed its direction.,397,Male,Adult,British English
20678,b0215,"It is a good property, and worth more than that.",2114,Male,Adult,American English
49053,a0550,This also became part of the daily schedule.,5022,Male,Adult,European English
12842,b0326,Our Mr Howison will call upon you at your hotel.,1317,Male,Adult,Australian English
43634,en-0265,considering the no threshold issue.,4473,Male,Youth,Indian English
27510,b0133,There followed a roar that shook the earth.,2825,Male,Adult,American English
27326,b0118,"We saw your light, and thought you wouldn't mind a call.",2807,Male,Adult,Other
37910,b0052,The flush was gone from her face.,3897,Male,Adult,American English
16605,a0577,"Once the jews harp began emitting its barbaric rhythms, Michael was helpless.",1699,Male,Youth,Indian English
39675,b0044,For a few moments he ate in silence.,4074,Male,Adult,British English
35974,a0244,He was the soul of devotion to his employers.,3698,Male,Adult,South African English
36570,b0448,Sandel would never become a world champion.,3760,Male,Youth,British English
23623,a0406,And that was the last of Francois and Perrault.,2436,Male,Adult,American English
53670,sample26,CUBA CUBE CUMULATIVE,5487,Male,Adult,Canadian English
32637,a0097,Then you can arrange yourself comfortably among these robes in the bow.,3348,Male,Adult,Other
28718,b0296,At times I wondered where Sir Archibald got his style.,2949,Male,Adult,American English
16638,a0012,Gregson shoved back his chair and rose to his feet.,1702,Male,Adult,American English
283,ar-10,"The walls shook, and all the rats' hair stood on end with fear and horror.",30,Male,Adult,American English
50151,a0406,And that was the last of Francois and Perrault,5133,Male,Adult,American English
52153,a0416,The added weight had a velocity of fifteen miles per hour.,5334,Male,Adult,American English
56549,a0361,"But he did not broach it, preferring to mature it carefully.",5773,Male,Adult,American English
47722,b0434,The steward has just tendered me a respectful bit of advice.,4885,Male,Adult,Indian English
15361,b0203,A month in Australia would finish me.,1573,Male,Youth,American English
33758,a0010,I'm playing a single hand in what looks like a losing game.,3460,Male,Adult,European English
39085,b0319,"Daylight was tired, profoundly tired.",4015,Male,Adult,European English
53068,en-0958,but does realize that it may receive zero for certain products,5425,Male,Adult,American English
38179,a0331,Poor little Crooked-Leg was terribly scared.,3924,Male,Adult,American English
16153,b0180,"I, I beg pardon, he drawled.",1653,Male,Adult,American English
3933,a0477,"Wada, Louis, and the steward are servants of Asiatic breed.",406,Male,Adult,Other
38897,b0063,He boiled himself some coffee and sat down to wait.,3996,Male,Adult,Indian English
55386,a0078,"Then, and at supper, he tried to fathom her.",5657,Male,Adult,New Zealand English
27440,a0356,You don't catch me at any such foolishness.,2818,Male,Adult,New Zealand English
50058,a0208,"Youth had come back to her, freed from the yoke of oppression.",5123,Male,Adult,European English
2216,b0422,This was when the explosion occurred.,230,Male,Adult,British English
43021,a0144,But there was something even more startling than this resemblance.,4411,Male,Adult,British English
10745,a0030,I had faith in them.,1105,Male,Adult,American English
17565,a0221,I don't know why you're here at all.,1796,Male,Adult,American English
53359,b0165,"He pulled, and the log crashed down to break his back.",5455,Male,Adult,American English
6805,a0031,They were three hundred yards apart.,700,Male,Youth,American English
31460,b0167,"A little before dawn of the day following, the fire relief came.",3227,Male,Adult,Canadian English
38833,e0126,"Yo, here is my friends boat that is for sale. He has a bunch more pictures that I can get by tomorrow.",3990,Male,Adult,European English
16011,b0442,He had become a man very early in life.,1639,Male,Adult,Other
15652,b0078,"There was pride and strength, the ring of triumph in his voice.",1602,Male,Youth,American English
44540,b0001,"Gad, do I remember it.",4564,Male,Adult,American English
3172,b0368,Please do not think that I already know it all.,326,Male,Adult,European English
10918,b0507,Did I possess too much vitality.,1122,Male,Adult,American English
35509,e0312,What is a Cat? They're totally unpredictable.,3652,Male,Adult,American English
10503,a0582,Daughtry elaborated on the counting trick by bringing Cocky along.,1080,Male,Adult,American English
9003,b0268,"Saxon nodded, and the boy frowned.",923,Male,Youth,Other
13651,rb-01,Hand-held devices such as personal digital assistants and smartphones are quite small.,1399,Male,Adult,American English
56098,a0447,"Ah, it is growing dark and darker.",5728,Male,Adult,American English
47305,rb-14,A major stumbling block is the still limited computing power of these phones.,4842,Male,Adult,Indian English
18733,b0448,Sandel would never become a world champion.,1914,Male,Adult,American English
42740,b0052,The flush was gone from her face.,4383,Male,Senior,American English
56713,b0370,And now behold the perversity of things.,5790,Male,Senior,American English
8163,a0484,No-sir-ee.,838,Male,Adult,Irish English
27220,b0390,The voyage was our idea of a good time.,2796,Male,Adult,British English
42181,b0097,"Besides, that noise makes me deaf.",4327,Male,Adult,American English
41140,b0014,"Whitefish, Gregson, whitefish and trout.",4222,Male,Adult,American English
52053,b0433,We are cooking on the coal stove and on the oil burners.,5324,Male,Adult,American English
50115,a0159,They look as though he had been drumming a piano all his life.,5129,Male,Adult,American English
33441,a0045,He moved away as quietly as he had come.,3428,Male,Adult,European English
53053,a0416,The added weight had a velocity of fifteen miles per hour.,5424,Male,Adult,Other
13630,a0541,The Warden with a quart of champagne.,1397,Male,Adult,Indian English
36606,b0251,They must have been swept away by the chaotic currents.,3764,Male,Adult,European English
8958,b0220,"Harry Bancroft, Dave lied.",919,Male,Adult,American English
55950,a0569,"At Lake Linderman I had one canoe, very good Peterborough canoe.",5713,Male,Adult,American English
43146,b0249,I know they are my oysters.,4424,Male,Youth,American English
8669,a0143,"Ah, I had forgotten, he exclaimed.",890,Male,Adult,American English
54255,a0025,I was about to do this when cooler judgment prevailed.,5543,Male,Adult,European English
16014,b0446,Some one had thrust a large sheath-knife into his hand.,1639,Male,Adult,Other
2018,a0257,"They are coming ashore, whoever they are.",206,Male,Adult,Asian accent
29046,a0163,Philip made no effort to follow.,2982,Male,Adult,American English
37793,b0059,In moments of mental energy Philip was restless.,3885,Male,Adult,Canadian English
57686,b0119,Billinger may arrive in time.,5888,Male,Adult,Other
27251,b0360,This state of mind comes of an undue prominence of the ego.,2799,Male,Adult,British English
15486,b0465,But such divergence of opinion would constitute no menace to society.,1586,Male,Adult,American English
829,a0107,If you only could know how I thank you.,85,Male,Adult,European English
28645,b0043,It won't be for sale.,2942,Male,Adult,American English
56288,b0101,"You're a devil for fighting, and will surely win.",5747,Male,Adult,American English
18192,b0099,Fifty yards ahead of her were the first of the rocks.,1858,Male,Adult,American English
34455,a0325,Whiz-zip-bang. Lop-Ear screamed with sudden anguish.,3530,Male,Adult,American English
11522,a0004,"Lord, but I'm glad to see you again, Phil.",1183,Male,Youth,South African English
9906,a0031,They were three hundred yards apart.,1018,Male,Youth,British English
15124,b0518,But there was also talk of witchcraft in the village.,1549,Male,Adult,American English
31756,a0239,He cried in such genuine dismay that she broke into hearty laughter.,3257,Male,Adult,European English
31529,a0380,But in the canyons water was plentiful and also a luxuriant forest growth.,3235,Male,Adult,Other
4545,a0067,"Surely I will excuse you, she cried.",469,Male,Adult,American English
29747,a0259,Think of investing in such an adventure.,3054,Male,Adult,Other
7589,a0369,"In partnership with Daylight, the pair raided the San Jose Interurban.",781,Male,Adult,American English
31688,b0311,The twenty ninth very foggy.,3251,Male,Adult,European English
12117,a0382,Daylight found himself charmed and made curious by the little man.,1244,Male,Adult,American English
26583,b0391,"At sea, Tuesday, March Seventeenth, Nineteen Oh Eight.",2732,Male,Adult,American English
21653,b0475,Not a wheel moved in his empire.,2219,Male,Adult,European English
8109,a0234,"Why, the average review is more nauseating than cod liver oil.",833,Male,Adult,Other
13923,rp-02,they act as a prism and form a rainbow.,1427,Male,Adult,American English
23173,b0053,"That is why I am, am rattled, he laughed.",2391,Male,Adult,European English
31905,b0065,"Now have you got anything to say against me, Mr Philip.",3272,Male,Adult,American English
50491,b0002,"You got out by fighting, and I through a pretty girl.",5167,Male,Adult,Indian English
49797,e0021,"Please call me if you have any questions, comments, and or concerns about bid week.",5097,Male,Adult,American English
54026,a0381,My name's Ferguson.,5520,Male,Adult,British English
18103,b0039,"Philip took a step toward Gregson, half determined to awaken him.",1849,Male,Adult,American English
7798,a0011,If I ever needed a fighter in my life I need one now.,802,Male,Adult,American English
8806,b0017," Everything was working smoothly, better than I  expected.",904,Male,Adult,American English
6347,a0579,There was the Emma Louisa.,654,Male,Adult,American English
7748,b0027,"And there's no chivalry, no quarter shown in this fight.",797,Male,Adult,British English
32396,b0477,You're going in for grab sharing.,3324,Male,Adult,American English
53023,a0360,But he no longer cared quite so much for that form of diversion.,5421,Male,Adult,British English
5332,a0421,"By golly, the boy wins.",548,Male,Adult,American English
48341,a0334,He'll knock you off a few sticks in no time.,4950,Male,Adult,American English
1197,b0435,"Well, did they eat.",122,Male,Adult,American English
12582,b0114,"He moved his position, and the illusion was gone.",1290,Male,Adult,Other
3812,b0098,Philip looked back from the crest and saw Jeanne leaning over the canoe.,394,Male,Adult,American English
34739,a0432,The boy at the wheel lost his head.,3559,Male,Adult,American English
6055,a0240,Wash your hands of me.,623,Male,Adult,American English
29435,a0497,King took every advantage he knew.,3022,Male,Adult,Australian English
23475,a0301,But all my dreams violated this law.,2422,Male,Adult,American English
50463,a0024,It was my reports from the north which chiefly induced people to buy.,5164,Male,Adult,European English
9795,a0578,But we'll just postpone this.,1007,Male,Adult,American English
50177,b0387,It is merely the simple superlative.,5135,Male,Adult,American English
10338,a0413,But I am at the end of my resources.,1063,Male,Adult,American English
31958,a0282,If you mean to insinuate -- Brentwood began hotly.,3279,Male,Adult,Other
39319,ar-10,"The walls shook, and all the rats' hair stood on end with fear and horror.",4039,Male,Adult,American English
11223,b0024,"It is growing, every day, every hour.",1153,Male,Adult,American English
33835,b0028,Lord Fitzhugh is the key to the whole situation.,3468,Male,Adult,European English
26429,a0272,You can take a vacation on pay.,2717,Male,Adult,American English
42356,b0296,At times I wondered where Sir Archibald got his style.,4344,Male,Adult,British English
50914,b0345,"Daylight made no answer, and the door closed behind him.",5209,Male,Adult,American English
51910,b0051,The sixth day he spent in the cabin with Gregson.,5309,Male,Adult,American English
23651,a0352,"I'm sure going along with you all, Elijah.",2439,Male,Adult,American English
52783,b0373,"Unlike Joshua, he stood in no need of divine assistance.",5397,Male,Adult,European English
45058,en-0266,"where a buyer or seller will be able to more easily,",4616,Male,Youth,Indian English
7590,a0370,He saw all men in the business game doing this.,781,Male,Adult,American English
13627,b0038,In her haste to get away she had forgotten these things.,1396,Male,Adult,European English
47915,a0033,"He unfolded a long typewritten letter, and handed it to Gregson.",4905,Male,Youth,American English
18287,a0132,A cry of joy burst from Philip's lips.,1868,Male,Adult,Australian English
30003,a0115,He had no excuse for the feelings which were aroused in him.,3079,Male,Adult,New Zealand English
15966,a0076,The gray eyes faltered; the flush deepened.,1634,Male,Adult,American English
1136,a0019,"I followed the line of the proposed railroad, looking for chances.",116,Male,Adult,American English
23285,a0080,What if Jeanne failed him.,2403,Male,Adult,Other
31600,a0571,He had forgotten to build a fire and thaw out.,3242,Male,Adult,European English
23103,a0177,She had been thoroughly and efficiently mauled.,2384,Male,Adult,Other
486,b0256,"Outwardly, he maintained a calm and smiling aspect.",51,Male,Youth,European English
27948,b0483,The flower of the artistic and intellectual world were revolutionists.,2872,Male,Adult,Other
17233,b0310,"A little treatment, massage, with some help from the doctor.",1762,Male,Adult,Irish English
12581,b0113,There was something pathetic in the girl's attitude now.,1290,Male,Adult,Other
39625,b0273,Then it was that a strange thing happened.,4069,Male,Adult,British English
15555,a0092,"He went down in midstream, searching the shadows of both shores.",1593,Male,Youth,American English
32357,b0030,Gregson held a lighted match until it burnt his fingertips.,3320,Male,Adult,American English
33603,b0472,Ernest saw in the affair the most sinister import.,3445,Male,Adult,European English
47355,b0342,Each improvement makes the value of everything else pump up.,4847,Male,Adult,European English
9572,b0108,"It was a miracle, and I owe you my life.",984,Male,Adult,American English
35731,b0200,We leave the eventuality to time and law.,3674,Male,Adult,British English
26881,b0234,"And watch out for wet feet, was his parting advice.",2762,Male,Adult,American English
8637,a0118,Pierre obeys me when we are together.,887,Male,Adult,American English
30052,b0535,He read his fragments aloud.,3084,Male,Adult,New Zealand English
32151,b0254,At the same time spears and arrows began to fall among the invaders.,3299,Male,Adult,European English
47961,a0301,But all my dreams violated this law.,4910,Male,Youth,American English
56175,b0181,And you preferred a cannibal isle and a cartridge belt.,5736,Male,Adult,American English
17677,b0260,It's worth eight dollars.,1807,Male,Youth,American English
23874,b0149,Pebbles and dirt flew along with hair and fur.,2462,Male,Adult,American English
44858,a0114,Her words sent a strange chill through Philip.,4596,Male,Adult,New Zealand English
36066,a0409,He could feel a new stir in the land.,3707,Male,Adult,American English
18528,a0587,He had comparatively no advantages at first.,1892,Male,Youth,European English
46715,b0253,The very opposite is true; they are discouraged vagabonds.,4783,Male,Adult,American English
54829,b0184,Such things in her brain were like so many oaths on her lips.,5601,Male,Adult,Australian English
2500,b0255,"Then, again, Tudor had such an irritating way about him.",258,Male,Adult,American English
40619,a0175,Down there the earth was already swelling with life.,4169,Male,Adult,Canadian English
1346,b0340,These quick little joys of hers were sources of joy to him.,137,Male,Adult,Canadian English
48568,b0325,It was a gigantic inadequacy.,4973,Male,Adult,American English
10158,b0258,"You fired me out of your house, in short.",1045,Male,Adult,American English
44731,b0066,"If I meet her again I shall apologize, said Eileen.",4583,Male,Adult,Other
36108,b0342,Each improvement makes the value of everything else pump up.,3712,Male,Adult,Australian English
45788,a0185,The questions may have come vaguely in his mind.,4690,Male,Adult,American English
29624,ar-15,The rats crawled out of their little houses and stood on the floor in a long line.,3041,Male,Adult,European English
33472,a0590,In a way he is my protege.,3431,Male,Adult,European English
6831,a0383,"To his surprise, her answer was flat and uncompromising.",702,Male,Youth,American English
21096,b0134,"Blind with rage, he darted in.",2160,Male,Youth,New Zealand English
16252,b0242,The Japanese understood as we could never school ourselves or hope to understand.,1663,Male,Adult,American English
24581,a0099,A maddening joy pounded in his brain.,2532,Male,Adult,American English
18858,a0325,Whiz-zip-bang. Lop-Ear screamed with sudden anguish.,1926,Male,Adult,American English
12465,b0285,The hyena proceeded to dine.,1279,Male,Adult,European English
2170,rb-20,it is necessary to keep in mind on which hardware the software will run.,225,Male,Adult,New Zealand English
974,a0232,"I cannot follow you, she said.",100,Male,Adult,European English
46046,a0561,"Bill lingered, contemplating his work with artistic appreciation.",4716,Male,Adult,American English
56474,b0148,The Indian even poked his stick into the thick ground spruce.,5766,Male,Adult,European English
45929,b0412,"Ah, it was sweet in my ears.",4705,Male,Adult,American English
33564,b0473,Then there was the campaign.,3441,Male,Adult,European English
22230,e0496,We are now addressing the distasteful task of sorting through the mountain of files accumulated during the litigation,2282,Male,Adult,American English
21573,a0074,"And now, down there, Eileen was waiting for him.",2211,Male,Adult,European English
43795,b0444,He did not know what went on in the minds of his superiors.,4490,Male,Adult,American English
47935,a0432,The boy at the wheel lost his head.,4907,Male,Youth,American English
10453,a0445,"The creative joy, I murmured.",1075,Male,Adult,American English
53178,b0419,"Your father's fifth command, he nodded.",5437,Male,Adult,Australian English
19714,a0434,A half a case of tobacco was worth three pounds.,2015,Male,Youth,American English
18953,a0589,I was sick once -- typhoid.,1936,Male,Adult,British English
